widths,lengths,t
0.0508,0.393707025596534,0.0025
0.0508,0.364478099788987,0.00225
0.0508,0.33429480139548,0.002
0.0508,0.303015272960227,0.00175
0.0508,0.270451664790744,0.0015
0.0508,0.236344462931504,0.00125
0.0508,0.200313955198629,0.001
0.0508,0.161756640070402,0.00075
0.0508,0.11957913916038,0.0005
